person,file_name,score_dim,judge_id,judge_score
GY,GY_danYuanRenChangJiu,pitch,4,6
HYW,HYW_danYuanRenChangJiu,pitch,4,2
HY,HY_danYuanRenChangJiu,pitch,4,3
KYX,KYX_danYuanRenChangJiu,pitch,4,5
LJQ,LJQ_danYuanRenChangJiu,pitch,4,9
LX,LX_danYuanRenChangJiu,pitch,4,6
LZQ,LZQ_danYuanRenChangJiu,pitch,4,4
LYR,LYR_danYuanRenChangJiu,pitch,4,2
LYH,LYH_danYuanRenChangJiu,pitch,4,6
OYYX,OYYX_danYuanRenChangJiu,pitch,4,4
SCX,SCX_danYuanRenChangJiu,pitch,4,9
LGL,LGL_danYuanRenChangJiu,pitch,4,2
WHL,WHL_danYuanRenChangJiu,pitch,4,9
WZB,WZB_danYuanRenChangJiu,pitch,4,7
WYW,WYW_danYuanRenChangJiu,pitch,4,5
YFC,YFC_danYuanRenChangJiu,pitch,4,4
YHD,YHD_danYuanRenChangJiu,pitch,4,5
YHA,YHA_danYuanRenChangJiu,pitch,4,9
YYH,YYH_danYuanRenChangJiu,pitch,4,7
DH,DH_danYuanRenChangJiu,rhythm,1,3
DZW,DZW_danYuanRenChangJiu,rhythm,1,6
DL,DL_danYuanRenChangJiu,rhythm,1,4
GY,GY_danYuanRenChangJiu,rhythm,1,7
HYW,HYW_danYuanRenChangJiu,rhythm,1,7
HY,HY_danYuanRenChangJiu,rhythm,1,5
KYX,KYX_danYuanRenChangJiu,rhythm,1,7
LJQ,LJQ_danYuanRenChangJiu,rhythm,1,9
LX,LX_danYuanRenChangJiu,rhythm,1,5
LZQ,LZQ_danYuanRenChangJiu,rhythm,1,3
LYR,LYR_danYuanRenChangJiu,rhythm,1,4
LYH,LYH_danYuanRenChangJiu,rhythm,1,4
OYYX,OYYX_danYuanRenChangJiu,rhythm,1,2
SCX,SCX_danYuanRenChangJiu,rhythm,1,10
LGL,LGL_danYuanRenChangJiu,rhythm,1,2
WHL,WHL_danYuanRenChangJiu,rhythm,1,9
WZB,WZB_danYuanRenChangJiu,rhythm,1,3
WYW,WYW_danYuanRenChangJiu,rhythm,1,4
YFC,YFC_danYuanRenChangJiu,rhythm,1,2
YHD,YHD_danYuanRenChangJiu,rhythm,1,5
YHA,YHA_danYuanRenChangJiu,rhythm,1,10
YYH,YYH_danYuanRenChangJiu,rhythm,1,7
DH,DH_danYuanRenChangJiu,rhythm,2,4
DZW,DZW_danYuanRenChangJiu,rhythm,2,5
DL,DL_danYuanRenChangJiu,rhythm,2,5
GY,GY_danYuanRenChangJiu,rhythm,2,6
HYW,HYW_danYuanRenChangJiu,rhythm,2,4
HY,HY_danYuanRenChangJiu,rhythm,2,5
KYX,KYX_danYuanRenChangJiu,rhythm,2,7
LJQ,LJQ_danYuanRenChangJiu,rhythm,2,10
LX,LX_danYuanRenChangJiu,rhythm,2,5
LZQ,LZQ_danYuanRenChangJiu,rhythm,2,5
LYR,LYR_danYuanRenChangJiu,rhythm,2,3
LYH,LYH_danYuanRenChangJiu,rhythm,2,5
OYYX,OYYX_danYuanRenChangJiu,rhythm,2,3
SCX,SCX_danYuanRenChangJiu,rhythm,2,10
LGL,LGL_danYuanRenChangJiu,rhythm,2,1
WHL,WHL_danYuanRenChangJiu,rhythm,2,10
WZB,WZB_danYuanRenChangJiu,rhythm,2,5
WYW,WYW_danYuanRenChangJiu,rhythm,2,5
YFC,YFC_danYuanRenChangJiu,rhythm,2,2
YHD,YHD_danYuanRenChangJiu,rhythm,2,6
YHA,YHA_danYuanRenChangJiu,rhythm,2,9
YYH,YYH_danYuanRenChangJiu,rhythm,2,7
DH,DH_danYuanRenChangJiu,rhythm,3,4
DZW,DZW_danYuanRenChangJiu,rhythm,3,5
DL,DL_danYuanRenChangJiu,rhythm,3,3
GY,GY_danYuanRenChangJiu,rhythm,3,6
HYW,HYW_danYuanRenChangJiu,rhythm,3,3
HY,HY_danYuanRenChangJiu,rhythm,3,3
KYX,KYX_danYuanRenChangJiu,rhythm,3,4
LJQ,LJQ_danYuanRenChangJiu,rhythm,3,10
LX,LX_danYuanRenChangJiu,rhythm,3,5
LZQ,LZQ_danYuanRenChangJiu,rhythm,3,3
LYR,LYR_danYuanRenChangJiu,rhythm,3,3
LYH,LYH_danYuanRenChangJiu,rhythm,3,5
OYYX,OYYX_danYuanRenChangJiu,rhythm,3,6
SCX,SCX_danYuanRenChangJiu,rhythm,3,10
LGL,LGL_danYuanRenChangJiu,rhythm,3,3
WHL,WHL_danYuanRenChangJiu,rhythm,3,8
WZB,WZB_danYuanRenChangJiu,rhythm,3,6
WYW,WYW_danYuanRenChangJiu,rhythm,3,5
YFC,YFC_danYuanRenChangJiu,rhythm,3,3
YHD,YHD_danYuanRenChangJiu,rhythm,3,3
YHA,YHA_danYuanRenChangJiu,rhythm,3,10
YYH,YYH_danYuanRenChangJiu,rhythm,3,5
DH,DH_danYuanRenChangJiu,rhythm,4,3
DZW,DZW_danYuanRenChangJiu,rhythm,4,6
DL,DL_danYuanRenChangJiu,rhythm,4,5
GY,GY_danYuanRenChangJiu,rhythm,4,7
HYW,HYW_danYuanRenChangJiu,rhythm,4,3
HY,HY_danYuanRenChangJiu,rhythm,4,4
KYX,KYX_danYuanRenChangJiu,rhythm,4,4
LJQ,LJQ_danYuanRenChangJiu,rhythm,4,10
LX,LX_danYuanRenChangJiu,rhythm,4,5
LZQ,LZQ_danYuanRenChangJiu,rhythm,4,3
LYR,LYR_danYuanRenChangJiu,rhythm,4,2
LYH,LYH_danYuanRenChangJiu,rhythm,4,6
OYYX,OYYX_danYuanRenChangJiu,rhythm,4,5
SCX,SCX_danYuanRenChangJiu,rhythm,4,9
LGL,LGL_danYuanRenChangJiu,rhythm,4,1
WHL,WHL_danYuanRenChangJiu,rhythm,4,9
WZB,WZB_danYuanRenChangJiu,rhythm,4,6
WYW,WYW_danYuanRenChangJiu,rhythm,4,6
YFC,YFC_danYuanRenChangJiu,rhythm,4,5
YHD,YHD_danYuanRenChangJiu,rhythm,4,5
YHA,YHA_danYuanRenChangJiu,rhythm,4,9
YYH,YYH_danYuanRenChangJiu,rhythm,4,6
DH,DH_danYuanRenChangJiu,pronounce,1,2
DZW,DZW_danYuanRenChangJiu,pronounce,1,2
DL,DL_danYuanRenChangJiu,pronounce,1,3
GY,GY_danYuanRenChangJiu,pronounce,1,6
HYW,HYW_danYuanRenChangJiu,pronounce,1,2
HY,HY_danYuanRenChangJiu,pronounce,1,6
KYX,KYX_danYuanRenChangJiu,pronounce,1,6
LJQ,LJQ_danYuanRenChangJiu,pronounce,1,9
LX,LX_danYuanRenChangJiu,pronounce,1,2
LZQ,LZQ_danYuanRenChangJiu,pronounce,1,2
LYR,LYR_danYuanRenChangJiu,pronounce,1,1
LYH,LYH_danYuanRenChangJiu,pronounce,1,5
OYYX,OYYX_danYuanRenChangJiu,pronounce,1,3
SCX,SCX_danYuanRenChangJiu,pronounce,1,10
LGL,LGL_danYuanRenChangJiu,pronounce,1,1
WHL,WHL_danYuanRenChangJiu,pronounce,1,10
WZB,WZB_danYuanRenChangJiu,pronounce,1,3
WYW,WYW_danYuanRenChangJiu,pronounce,1,4
YFC,YFC_danYuanRenChangJiu,pronounce,1,1
YHD,YHD_danYuanRenChangJiu,pronounce,1,2
YHA,YHA_danYuanRenChangJiu,pronounce,1,10
YYH,YYH_danYuanRenChangJiu,pronounce,1,4
DH,DH_danYuanRenChangJiu,pronounce,2,2
DZW,DZW_danYuanRenChangJiu,pronounce,2,1
DL,DL_danYuanRenChangJiu,pronounce,2,3
GY,GY_danYuanRenChangJiu,pronounce,2,7
HYW,HYW_danYuanRenChangJiu,pronounce,2,2
HY,HY_danYuanRenChangJiu,pronounce,2,6
KYX,KYX_danYuanRenChangJiu,pronounce,2,5
LJQ,LJQ_danYuanRenChangJiu,pronounce,2,10
LX,LX_danYuanRenChangJiu,pronounce,2,3
LZQ,LZQ_danYuanRenChangJiu,pronounce,2,1
LYR,LYR_danYuanRenChangJiu,pronounce,2,1
LYH,LYH_danYuanRenChangJiu,pronounce,2,3
OYYX,OYYX_danYuanRenChangJiu,pronounce,2,3
SCX,SCX_danYuanRenChangJiu,pronounce,2,10
LGL,LGL_danYuanRenChangJiu,pronounce,2,1
WHL,WHL_danYuanRenChangJiu,pronounce,2,9
WZB,WZB_danYuanRenChangJiu,pronounce,2,5
WYW,WYW_danYuanRenChangJiu,pronounce,2,5
YFC,YFC_danYuanRenChangJiu,pronounce,2,2
YHD,YHD_danYuanRenChangJiu,pronounce,2,4
YHA,YHA_danYuanRenChangJiu,pronounce,2,10
YYH,YYH_danYuanRenChangJiu,pronounce,2,2
DH,DH_danYuanRenChangJiu,pronounce,3,2
DZW,DZW_danYuanRenChangJiu,pronounce,3,3
DL,DL_danYuanRenChangJiu,pronounce,3,4
GY,GY_danYuanRenChangJiu,pronounce,3,6
HYW,HYW_danYuanRenChangJiu,pronounce,3,2
HY,HY_danYuanRenChangJiu,pronounce,3,2
KYX,KYX_danYuanRenChangJiu,pronounce,3,5
LJQ,LJQ_danYuanRenChangJiu,pronounce,3,10
LX,LX_danYuanRenChangJiu,pronounce,3,3
LZQ,LZQ_danYuanRenChangJiu,pronounce,3,2
LYR,LYR_danYuanRenChangJiu,pronounce,3,3
LYH,LYH_danYuanRenChangJiu,pronounce,3,6
OYYX,OYYX_danYuanRenChangJiu,pronounce,3,4
SCX,SCX_danYuanRenChangJiu,pronounce,3,10
LGL,LGL_danYuanRenChangJiu,pronounce,3,3
WHL,WHL_danYuanRenChangJiu,pronounce,3,10
WZB,WZB_danYuanRenChangJiu,pronounce,3,5
WYW,WYW_danYuanRenChangJiu,pronounce,3,3
YFC,YFC_danYuanRenChangJiu,pronounce,3,2
YHD,YHD_danYuanRenChangJiu,pronounce,3,4
YHA,YHA_danYuanRenChangJiu,pronounce,3,9
YYH,YYH_danYuanRenChangJiu,pronounce,3,5
DH,DH_danYuanRenChangJiu,pronounce,4,3
DZW,DZW_danYuanRenChangJiu,pronounce,4,2
DL,DL_danYuanRenChangJiu,pronounce,4,3
GY,GY_danYuanRenChangJiu,pronounce,4,5
HYW,HYW_danYuanRenChangJiu,pronounce,4,2
HY,HY_danYuanRenChangJiu,pronounce,4,4
KYX,KYX_danYuanRenChangJiu,pronounce,4,2
LJQ,LJQ_danYuanRenChangJiu,pronounce,4,9
LX,LX_danYuanRenChangJiu,pronounce,4,4
LZQ,LZQ_danYuanRenChangJiu,pronounce,4,3
LYR,LYR_danYuanRenChangJiu,pronounce,4,3
LYH,LYH_danYuanRenChangJiu,pronounce,4,5
OYYX,OYYX_danYuanRenChangJiu,pronounce,4,3
SCX,SCX_danYuanRenChangJiu,pronounce,4,10
LGL,LGL_danYuanRenChangJiu,pronounce,4,2
WHL,WHL_danYuanRenChangJiu,pronounce,4,10
WZB,WZB_danYuanRenChangJiu,pronounce,4,6
WYW,WYW_danYuanRenChangJiu,pronounce,4,5
YFC,YFC_danYuanRenChangJiu,pronounce,4,3
YHD,YHD_danYuanRenChangJiu,pronounce,4,5
YHA,YHA_danYuanRenChangJiu,pronounce,4,9
YYH,YYH_danYuanRenChangJiu,pronounce,4,6
