file_name,score_dim,judge_id,judge_score
LYR_danYuanRenChangJiu,rhythm,4,2
LYH_danYuanRenChangJiu,rhythm,4,6
OYYX_danYuanRenChangJiu,rhythm,4,5
SCX_danYuanRenChangJiu,rhythm,4,9
LGL_danYuanRenChangJiu,rhythm,4,1
WHL_danYuanRenChangJiu,rhythm,4,9
WZB_danYuanRenChangJiu,rhythm,4,6
WYW_danYuanRenChangJiu,rhythm,4,6
YFC_danYuanRenChangJiu,rhythm,4,5
YHD_danYuanRenChangJiu,rhythm,4,5
YHA_danYuanRenChangJiu,rhythm,4,9
YYH_danYuanRenChangJiu,rhythm,4,6
DH_danYuanRenChangJiu,pronounce,1,2
DZW_danYuanRenChangJiu,pronounce,1,2
DL_danYuanRenChangJiu,pronounce,1,3
GY_danYuanRenChangJiu,pronounce,1,6
HYW_danYuanRenChangJiu,pronounce,1,2
HY_danYuanRenChangJiu,pronounce,1,6
KYX_danYuanRenChangJiu,pronounce,1,6
LJQ_danYuanRenChangJiu,pronounce,1,9
LX_danYuanRenChangJiu,pronounce,1,2
LZQ_danYuanRenChangJiu,pronounce,1,2
LYR_danYuanRenChangJiu,pronounce,1,1
LYH_danYuanRenChangJiu,pronounce,1,5
OYYX_danYuanRenChangJiu,pronounce,1,3
SCX_danYuanRenChangJiu,pronounce,1,10
LGL_danYuanRenChangJiu,pronounce,1,1
WHL_danYuanRenChangJiu,pronounce,1,10
WZB_danYuanRenChangJiu,pronounce,1,3
WYW_danYuanRenChangJiu,pronounce,1,4
YFC_danYuanRenChangJiu,pronounce,1,1
YHD_danYuanRenChangJiu,pronounce,1,2
YHA_danYuanRenChangJiu,pronounce,1,10
YYH_danYuanRenChangJiu,pronounce,1,4
DH_danYuanRenChangJiu,pronounce,2,2
DZW_danYuanRenChangJiu,pronounce,2,1
DL_danYuanRenChangJiu,pronounce,2,3
GY_danYuanRenChangJiu,pronounce,2,7
HYW_danYuanRenChangJiu,pronounce,2,2
HY_danYuanRenChangJiu,pronounce,2,6
KYX_danYuanRenChangJiu,pronounce,2,5
LJQ_danYuanRenChangJiu,pronounce,2,10
LX_danYuanRenChangJiu,pronounce,2,3
LZQ_danYuanRenChangJiu,pronounce,2,1
LYR_danYuanRenChangJiu,pronounce,2,1
LYH_danYuanRenChangJiu,pronounce,2,3
OYYX_danYuanRenChangJiu,pronounce,2,3
SCX_danYuanRenChangJiu,pronounce,2,10
LGL_danYuanRenChangJiu,pronounce,2,1
WHL_danYuanRenChangJiu,pronounce,2,9
WZB_danYuanRenChangJiu,pronounce,2,5
WYW_danYuanRenChangJiu,pronounce,2,5
YFC_danYuanRenChangJiu,pronounce,2,2
YHD_danYuanRenChangJiu,pronounce,2,4
YHA_danYuanRenChangJiu,pronounce,2,10
YYH_danYuanRenChangJiu,pronounce,2,2
DH_danYuanRenChangJiu,pronounce,3,2
DZW_danYuanRenChangJiu,pronounce,3,3
DL_danYuanRenChangJiu,pronounce,3,4
GY_danYuanRenChangJiu,pronounce,3,6
HYW_danYuanRenChangJiu,pronounce,3,2
HY_danYuanRenChangJiu,pronounce,3,2
KYX_danYuanRenChangJiu,pronounce,3,5
LJQ_danYuanRenChangJiu,pronounce,3,10
LX_danYuanRenChangJiu,pronounce,3,3
LZQ_danYuanRenChangJiu,pronounce,3,2
LYR_danYuanRenChangJiu,pronounce,3,3
LYH_danYuanRenChangJiu,pronounce,3,6
OYYX_danYuanRenChangJiu,pronounce,3,4
SCX_danYuanRenChangJiu,pronounce,3,10
LGL_danYuanRenChangJiu,pronounce,3,3
WHL_danYuanRenChangJiu,pronounce,3,10
WZB_danYuanRenChangJiu,pronounce,3,5
WYW_danYuanRenChangJiu,pronounce,3,3
YFC_danYuanRenChangJiu,pronounce,3,2
YHD_danYuanRenChangJiu,pronounce,3,4
YHA_danYuanRenChangJiu,pronounce,3,9
YYH_danYuanRenChangJiu,pronounce,3,5
DH_danYuanRenChangJiu,pronounce,4,3
DZW_danYuanRenChangJiu,pronounce,4,2
DL_danYuanRenChangJiu,pronounce,4,3
GY_danYuanRenChangJiu,pronounce,4,5
HYW_danYuanRenChangJiu,pronounce,4,2
HY_danYuanRenChangJiu,pronounce,4,4
KYX_danYuanRenChangJiu,pronounce,4,2
LJQ_danYuanRenChangJiu,pronounce,4,9
LX_danYuanRenChangJiu,pronounce,4,4
LZQ_danYuanRenChangJiu,pronounce,4,3
LYR_danYuanRenChangJiu,pronounce,4,3
LYH_danYuanRenChangJiu,pronounce,4,5
OYYX_danYuanRenChangJiu,pronounce,4,3
SCX_danYuanRenChangJiu,pronounce,4,10
LGL_danYuanRenChangJiu,pronounce,4,2
WHL_danYuanRenChangJiu,pronounce,4,10
WZB_danYuanRenChangJiu,pronounce,4,6
WYW_danYuanRenChangJiu,pronounce,4,5
YFC_danYuanRenChangJiu,pronounce,4,3
YHD_danYuanRenChangJiu,pronounce,4,5
YHA_danYuanRenChangJiu,pronounce,4,9
YYH_danYuanRenChangJiu,pronounce,4,6
